Time,PV,SP
2/6/23 7:31,25.201 °C,
2/6/23 7:32,25.138 °C,
2/6/23 7:33,25.076 °C,
2/6/23 7:34,25.076 °C,
2/6/23 7:35,25.076 °C,
2/6/23 7:36,25.013 °C,
2/6/23 7:37,24.951 °C,
2/6/23 7:38,24.951 °C,
2/6/23 7:39,24.888 °C,
2/6/23 7:40,24.888 °C,
2/6/23 7:41,24.826 °C,
2/6/23 7:42,24.826 °C,
2/6/23 7:43,24.763 °C,
2/6/23 7:44,24.763 °C,
2/6/23 7:45,24.701 °C,
2/6/23 7:46,24.701 °C,
2/6/23 7:47,24.638 °C,
2/6/23 7:48,24.638 °C,
2/6/23 7:49,24.638 °C,
2/6/23 7:50,24.576 °C,
2/6/23 7:51,24.576 °C,
2/6/23 7:52,24.513 °C,
2/6/23 7:53,24.513 °C,
2/6/23 7:54,24.513 °C,
2/6/23 7:55,24.513 °C,
2/6/23 7:56,24.451 °C,
2/6/23 7:57,24.451 °C,
2/6/23 7:58,24.388 °C,
2/6/23 7:59,24.388 °C,
2/6/23 8:00,24.388 °C,
2/6/23 8:01,24.326 °C,
2/6/23 8:02,24.326 °C,
2/6/23 8:03,24.326 °C,
2/6/23 8:04,24.326 °C,
2/6/23 8:05,24.263 °C,
2/6/23 8:06,24.263 °C,
2/6/23 8:07,24.263 °C,
2/6/23 8:08,24.263 °C,
2/6/23 8:09,24.201 °C,
2/6/23 8:10,24.201 °C,
2/6/23 8:11,24.201 °C,
2/6/23 8:12,24.201 °C,
2/6/23 8:13,24.138 °C,
2/6/23 8:14,24.138 °C,
2/6/23 8:15,24.138 °C,
2/6/23 8:16,24.138 °C,
2/6/23 8:17,24.138 °C,
2/6/23 8:18,24.138 °C,
2/6/23 8:19,24.076 °C,
2/6/23 8:20,24.138 °C,
2/6/23 8:21,24.076 °C,
2/6/23 8:22,24.076 °C,
2/6/23 8:23,24.076 °C,
2/6/23 8:24,24.076 °C,
2/6/23 8:25,24.076 °C,
2/6/23 8:26,24.076 °C,
2/6/23 8:27,24.013 °C,
2/6/23 8:28,24.013 °C,
2/6/23 8:29,24.013 °C,
2/6/23 8:30,24.013 °C,
2/6/23 8:31,24.013 °C,
2/6/23 8:32,23.951 °C,
2/6/23 8:33,24.013 °C,
2/6/23 8:34,23.951 °C,
2/6/23 8:35,23.951 °C,
2/6/23 8:36,23.951 °C,
2/6/23 8:37,23.951 °C,
2/6/23 8:38,23.951 °C,
2/6/23 8:39,23.951 °C,
2/6/23 8:40,23.951 °C,
2/6/23 8:41,23.951 °C,
2/6/23 8:42,23.888 °C,
2/6/23 8:43,23.951 °C,
2/6/23 8:44,23.888 °C,
2/6/23 8:45,23.888 °C,
2/6/23 8:46,23.888 °C,
2/6/23 8:47,23.888 °C,
2/6/23 8:48,23.888 °C,
2/6/23 8:49,23.888 °C,
2/6/23 8:50,23.888 °C,
2/6/23 8:51,23.888 °C,
2/6/23 8:52,23.888 °C,
2/6/23 8:53,23.888 °C,
2/6/23 8:54,23.888 °C,
2/6/23 8:55,23.888 °C,
2/6/23 8:56,23.888 °C,
2/6/23 8:57,23.888 °C,
2/6/23 8:58,23.888 °C,
2/6/23 8:59,23.826 °C,
2/6/23 9:00,23.826 °C,
2/6/23 9:01,23.826 °C,
2/6/23 9:02,23.888 °C,
2/6/23 9:03,23.826 °C,
2/6/23 9:04,23.888 °C,
2/6/23 9:05,23.826 °C,
2/6/23 9:06,23.826 °C,
