Time,PV,SP
2/6/23 9:07,23.826 °C,
2/6/23 9:08,23.826 °C,
2/6/23 9:09,23.826 °C,
2/6/23 9:10,23.826 °C,
2/6/23 9:11,23.826 °C,
2/6/23 9:12,23.826 °C,
2/6/23 9:13,23.826 °C,
2/6/23 9:14,23.826 °C,
2/6/23 9:15,23.826 °C,
2/6/23 9:16,23.826 °C,
2/6/23 9:17,23.826 °C,
2/6/23 9:18,23.826 °C,
2/6/23 9:19,23.826 °C,
2/6/23 9:20,23.826 °C,
2/6/23 9:21,23.826 °C,
2/6/23 9:22,23.826 °C,
2/6/23 9:23,23.826 °C,
2/6/23 9:24,23.826 °C,
2/6/23 9:25,23.826 °C,
2/6/23 9:26,23.826 °C,
2/6/23 9:27,23.826 °C,
2/6/23 9:28,23.826 °C,
2/6/23 9:29,23.826 °C,
2/6/23 9:30,23.826 °C,
2/6/23 9:31,23.826 °C,
2/6/23 9:32,23.826 °C,
2/6/23 9:33,23.826 °C,
2/6/23 9:34,23.826 °C,
2/6/23 9:35,23.826 °C,
2/6/23 9:36,23.826 °C,
2/6/23 9:37,23.826 °C,
2/6/23 9:38,23.826 °C,
2/6/23 9:39,23.826 °C,
2/6/23 9:40,23.826 °C,
2/6/23 9:41,23.826 °C,
2/6/23 9:42,23.826 °C,
2/6/23 9:43,23.826 °C,
2/6/23 9:44,23.826 °C,
2/6/23 9:45,23.826 °C,
2/6/23 9:46,23.826 °C,
2/6/23 9:47,23.826 °C,
2/6/23 9:48,23.826 °C,
2/6/23 9:49,23.826 °C,
2/6/23 9:50,23.826 °C,
2/6/23 9:51,23.763 °C,
2/6/23 9:52,23.763 °C,
2/6/23 9:53,23.826 °C,
2/6/23 9:54,23.826 °C,
2/6/23 9:55,23.826 °C,
2/6/23 9:56,23.826 °C,
2/6/23 9:57,23.826 °C,
2/6/23 9:58,23.826 °C,
2/6/23 9:59,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.763 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,24.013 °C,
##########,23.951 °C,
##########,24.013 °C,
##########,23.951 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.138 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.076 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,23.951 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,24.013 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.951 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.888 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.826 °C,
##########,23.888 °C,
##########,23.888 °C,
