scan,date,time,raw,calibrated
127,24/11/2022 , 11:10:00,5032,326.2
128,24/11/2022 , 11:20:00,6511,422
129,24/11/2022 , 11:30:00,5131,332.6
130,24/11/2022 , 11:40:00,6437,417.2
131,24/11/2022 , 11:50:00,5443,352.8
132,24/11/2022 , 12:00:00,4432,287.3
133,24/11/2022 , 12:10:00,4801,311.2
134,24/11/2022 , 12:20:00,4668,302.6
135,24/11/2022 , 12:30:00,3781,245.1
136,24/11/2022 , 12:40:00,4947,320.7
137,24/11/2022 , 12:50:00,5264,341.2
138,24/11/2022 , 13:00:00,4437,287.6
139,24/11/2022 , 13:10:00,4457,288.9
140,24/11/2022 , 13:20:00,3646,236.3
141,24/11/2022 , 13:30:00,3890,252.2
142,24/11/2022 , 13:40:00,3959,256.6
143,24/11/2022 , 13:50:00,4059,263.1
144,24/11/2022 , 14:00:00,4069,263.8
145,24/11/2022 , 14:10:00,4179,270.9
146,24/11/2022 , 14:20:00,4212,273
147,24/11/2022 , 14:30:00,4185,271.3
148,24/11/2022 , 14:40:00,4142,268.5
149,24/11/2022 , 14:50:00,4425,286.8
150,24/11/2022 , 15:00:00,4103,266
151,24/11/2022 , 15:10:00,3852,249.7
152,24/11/2022 , 15:20:00,3051,197.8
153,24/11/2022 , 15:30:00,2862,185.5
154,24/11/2022 , 15:40:00,2218,143.8
155,24/11/2022 , 15:50:00,2582,167.4
156,24/11/2022 , 16:00:00,2478,160.6
157,24/11/2022 , 16:10:00,2271,147.2
158,24/11/2022 , 16:20:00,1905,123.5
159,24/11/2022 , 16:30:00,1773,114.9
160,24/11/2022 , 16:40:00,1513,98.1
161,24/11/2022 , 16:50:00,1279,82.9
162,24/11/2022 , 17:00:00,764,49.5
163,24/11/2022 , 17:10:00,726,47.1
164,24/11/2022 , 17:20:00,520,33.7
165,24/11/2022 , 17:30:00,407,26.4
166,24/11/2022 , 17:40:00,260,16.9
167,24/11/2022 , 17:50:00,129,8.4
168,24/11/2022 , 18:00:00,30,1.9
169,24/11/2022 , 18:10:00,2,0.1
170,24/11/2022 , 18:20:00,0,0
171,24/11/2022 , 18:30:00,0,0
172,24/11/2022 , 18:40:00,0,0
173,24/11/2022 , 18:50:00,0,0
174,24/11/2022 , 19:00:00,0,0
175,24/11/2022 , 19:10:00,0,0
176,24/11/2022 , 19:20:00,0,0
177,24/11/2022 , 19:30:00,0,0
178,24/11/2022 , 19:40:00,0,0
179,24/11/2022 , 19:50:00,0,0
180,24/11/2022 , 20:00:00,0,0
181,24/11/2022 , 20:10:00,0,0
182,24/11/2022 , 20:20:00,0,0
183,24/11/2022 , 20:30:00,0,0
