Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
775B,775B,Mesh,86.80856632,16.1785874,1.58E-06,1.62E-06,0,0.000116451,0.000185412,0.000135122,0.000308113,0.001169613,3.71E-05,1.26E-05,2.14E-08,0,0,5.24E-07,0,0.0001659,0.002036771,0.000410452,2.65E-06,0.000184831,7.30E-05,1.55E-05,0.000149993,0.000109738,0.000671869,0.000962696,0.001128671,9.26E-05,5.24E-05,1.86E-05,0.000114504,0,8.43E-05,9.65E-05,3.34E-05,0.000308302,4.577961076,0.260939272,4.317021804,25.88680182,107.8513092
775C,775C,Mesh,68.94116148,10.20039804,9.00E-05,1.10E-07,0,0.000134142,0.000189233,8.87E-05,8.93E-05,0.000357637,4.98E-05,5.91E-08,3.99E-07,0,0,3.51E-07,0,0.000144935,0.001924257,0.000354368,9.48E-07,8.64E-05,0.000105672,2.45E-05,0.000129588,0.000164877,0.000784685,0.000938958,0.00055272,0.000138231,0.000176757,4.86E-06,9.70E-05,0,3.63E-05,0.000159148,1.49E-05,5.52E-05,5.5360442,0.280785577,5.255258623,21.7363455,77.17888118
909A,909A,Mesh,74.15993637,15.85143265,1.95E-05,8.09E-06,0,0.000246118,0.000575743,0.000106356,0.000180912,0.000153676,5.16E-06,3.93E-07,1.12E-07,0,0,2.94E-05,0,0.000923056,0.001553122,0.000101241,0,6.46E-05,0.000629512,3.45E-05,0.000514926,9.98E-05,0.000951385,0.000498876,0.000322633,7.60E-06,8.50E-05,5.27E-06,0.000191947,0,6.39E-05,3.47E-05,1.51E-07,8.28E-06,4.713243247,0.34393591,4.369307337,36.76667608,91.9807489
909B,909B,Mesh,48.82708472,9.88163257,0.000211323,6.90E-06,0,0.000197682,0.000421443,7.97E-05,5.66E-05,0.000141096,7.60E-06,0,1.98E-05,0,0,2.45E-05,0,0.000605846,0.000672052,5.98E-05,9.91E-09,0.000142798,0.000475496,4.31E-05,0.000192741,9.41E-05,0.000547218,0.000335652,0.000162252,8.79E-06,9.97E-05,2.28E-06,8.93E-05,0,8.78E-05,3.82E-05,0,5.90E-05,4.385284273,0.276194173,4.1090901,17.71423061,58.37115009
909C,909C,Mesh,35.07455774,8.016404781,6.54E-05,2.17E-06,0,0.000107753,9.27E-05,4.10E-05,0.000202492,1.01E-05,6.46E-05,1.79E-06,7.35E-06,0,0,8.30E-07,0,0.000502186,0.000668405,1.35E-05,9.14E-06,0.000116749,0.000118338,2.74E-05,0.000518392,1.68E-05,0.000389933,0.000131205,2.93E-05,2.16E-06,6.28E-05,7.55E-06,8.81E-05,0,3.58E-05,4.67E-05,4.73E-05,7.96E-05,3.584523208,0.314556823,3.269966385,12.56145923,36.18699884
910A,910A,Mesh,29.51693119,6.477473944,5.08E-05,1.88E-05,2.88E-08,0.000146071,0.00058788,0.000185807,1.58E-05,0.000113926,1.00E-06,0,1.22E-05,0,0,0,0,1.18E-05,0.000198874,2.03E-05,0,0.000163436,2.26E-05,4.23E-05,7.20E-06,0.000221453,0.000184973,0.000335512,5.26E-05,2.21E-06,6.37E-05,3.31E-05,0.000308898,0,8.85E-05,6.09E-05,6.05E-07,3.97E-07,3.252147347,-0.077691392,3.329838739,7.550333723,33.37307895
910B,910B,Mesh,27.10493037,5.632384631,1.17E-05,1.60E-06,0,0.000165017,0.000169977,0.000256052,2.08E-05,8.20E-05,3.03E-06,0,2.52E-05,0,0,0,0,7.86E-05,0.000182152,1.34E-05,0,0.000198968,2.77E-05,6.70E-06,6.62E-05,0.000128411,0.000189204,0.000347038,3.19E-05,5.45E-06,5.70E-05,1.97E-05,0.000401648,0,7.48E-05,0.000145573,0,5.78E-07,3.536001612,0.300112226,3.235889387,7.553924241,25.71889894
910C,910C,Mesh,38.20185591,7.049355095,2.86E-05,3.54E-05,4.68E-07,0.000142209,0.000258084,1.88E-05,0.000284401,0.000229969,3.11E-05,0,4.91E-05,0,0,9.60E-07,0,6.25E-05,0.000491843,4.15E-05,4.14E-07,0.00021067,4.66E-05,4.17E-05,1.49E-05,0.000285908,0.000465087,0.000611615,0.00013981,7.26E-06,0.000162549,8.68E-07,2.91E-05,0,1.21E-05,2.31E-05,0,9.37E-05,4.692695532,0.269579236,4.423116296,11.58566437,47.59649296
911A,911A,Mesh,33.6921803,4.919489604,0,3.48E-05,0,0.000157634,0.00023158,0.000102131,5.40E-05,3.10E-05,6.13E-07,0,2.60E-05,0,0,3.76E-06,0,0.000269302,0.00113676,8.59E-06,0,0.000250312,9.06E-05,4.06E-05,0.000169538,1.26E-05,0.000302865,0.000251846,4.99E-05,3.91E-08,6.65E-05,0,3.92E-05,0,1.45E-06,3.52E-05,0,2.18E-06,5.036003009,0.269689552,4.766313457,9.378913447,30.03196904
911B,911B,Mesh,38.46741013,7.166441673,2.09E-06,1.36E-05,0,0.000278645,8.37E-05,9.97E-07,5.55E-07,6.25E-05,3.97E-08,0,5.92E-05,0,0,3.28E-08,0,0.000171036,0.001346545,0.000127692,0,0.00035958,2.21E-05,2.12E-05,0.000132364,1.57E-05,0.000383998,0.000305588,0.000271426,6.00E-07,3.31E-05,0,0.000154274,0,0,9.78E-08,0,0,5.252878183,0.331290786,4.921587398,11.55549647,48.18156697
