Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Surface Area (m^2) by color category: 0,Surface Area (m^2) by color category: 1,Surface Area (m^2) by color category: 2,Surface Area (m^2) by color category: 3,Surface Area (m^2) by color category: 4,Surface Area (m^2) by color category: 5,Surface Area (m^2) by color category: 6,Surface Area (m^2) by color category: 7,Surface Area (m^2) by color category: 8,Surface Area (m^2) by color category: 9,Surface Area (m^2) by color category: 10,Surface Area (m^2) by color category: 11,Surface Area (m^2) by color category: 12,Surface Area (m^2) by color category: 13,Surface Area (m^2) by color category: 14,Surface Area (m^2) by color category: 15,Surface Area (m^2) by color category: 16,Surface Area (m^2) by color category: 17,Surface Area (m^2) by color category: 18,Surface Area (m^2) by color category: 19,Surface Area (m^2) by color category: 20,Surface Area (m^2) by color category: 21,Surface Area (m^2) by color category: 22,Surface Area (m^2) by color category: 23,Surface Area (m^2) by color category: 24,Surface Area (m^2) by color category: 25,Surface Area (m^2) by color category: 26,Surface Area (m^2) by color category: 27,Surface Area (m^2) by color category: 28,Surface Area (m^2) by color category: 29,Surface Area (m^2) by color category: 30,Surface Area (m^2) by color category: 31,Surface Area (m^2) by color category: 32,Surface Area (m^2) by color category: 33,Surface Area (m^2) by color category: 34,Surface Area (m^2) by color category: 35,Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
918B,918B,Mesh,36.67997308,7.29280093,6.05E-05,3.24E-06,0,0.000164175,0.000260118,7.29E-05,0.000123387,5.95E-05,2.76E-05,2.63E-08,1.75E-05,0,0,4.06E-06,0,0.000499094,0.000488978,1.53E-07,9.00E-07,0.000150943,0.00016875,1.38E-05,0.000201387,6.14E-05,0.000585769,0.000297766,2.77E-05,2.17E-06,0.000149481,8.67E-07,3.38E-05,0,5.33E-05,5.70E-05,0,8.19E-05,3.872623816,0.275740655,3.596883162,11.21803521,36.13749304
918C,918C,Mesh,39.84573902,8.849621455,5.60E-05,1.90E-07,0,0.000123684,0.000114235,2.63E-06,2.45E-05,4.91E-05,1.84E-07,0,4.21E-06,0,0,6.05E-07,0,0.000414623,0.00116031,1.38E-05,0,0.000143979,5.65E-05,8.93E-06,0.000319443,2.06E-05,0.000637323,0.000291194,5.46E-05,0,0.000133197,4.17E-06,0.00034909,0,7.29E-07,8.15E-07,0,0,3.768522823,0.301475458,3.467047365,16.86035607,39.83800744
1133,1133,Mesh,44.00082845,10.35383632,1.90E-06,5.96E-06,0,0.000207172,0.000206925,5.09E-05,2.35E-05,0.000329618,1.73E-06,0,0.000109303,0,0,4.68E-06,0,0.000254255,0.000653189,0.000164173,0,0.000264329,0.000169233,1.35E-05,0.000196902,6.03E-05,0.000582792,0.000367204,0.000372684,3.19E-05,0.000110925,0,0.000163456,0,3.49E-05,1.06E-05,5.62E-06,2.48E-06,4.003484882,0.326501116,3.676983766,12.1890782,57.24980222
1193,1193,Mesh,32.99967288,6.21120072,2.60E-05,1.31E-05,0,0.000176983,0.000156316,9.96E-05,6.56E-06,2.03E-05,4.39E-07,0,0.000124981,0,0,1.71E-07,0,0.000321589,0.000616955,2.19E-06,0,0.000284465,4.02E-05,1.30E-05,0.000379035,2.64E-05,0.000491033,0.000147109,3.14E-05,0,0.000114701,2.54E-07,0.000151678,0,4.41E-05,9.83E-06,0,1.59E-06,4.286232542,0.320874884,3.965357658,8.528342155,31.07660044
1229,1229,Mesh,33.54699448,5.9279453,0,2.28E-07,0,0.000200926,9.81E-05,5.10E-06,9.91E-06,0.000140615,2.68E-07,0,0.000206435,0,0,1.21E-07,0,6.63E-05,0.000947046,0.000187579,0,0.000411999,6.13E-05,7.49E-06,5.75E-05,1.71E-05,0.000168256,0.000155912,0.000362285,2.92E-05,8.09E-05,0,0.000137566,0,9.56E-07,1.43E-07,3.08E-08,1.34E-06,4.542140149,0.330927199,4.211212949,8.542132577,34.76743666
1399,1399,Mesh,27.09309954,5.250508007,0,1.63E-05,0,0.000375193,3.93E-05,9.46E-06,1.96E-06,3.57E-05,0,0,0.000123602,0,0,0,0,0.000219286,0.00046607,0,0,0.000464959,2.68E-05,2.06E-05,0.000261886,5.48E-06,0.000308491,0.000134368,0,0,4.10E-05,0,0.000147563,0,3.58E-06,7.70E-06,0,0,4.378653232,0.3517229,4.026930332,6.033963196,27.29351383
2509,2509,Mesh,48.62627534,8.84114668,2.29E-05,5.68E-06,0,0.000265579,0.000166367,1.46E-05,2.25E-05,0.000216934,8.64E-07,0,0.000125474,0,0,5.01E-06,0,0.000208967,0.00108796,0.000274932,2.50E-06,0.000440063,0.000141498,2.02E-05,0.000121282,4.51E-05,0.000434245,0.000336293,0.000435,9.49E-05,0.000176349,3.42E-07,0.000181424,0,6.53E-06,5.92E-06,0,3.28E-06,4.736852778,0.326928693,4.409924085,12.49478898,59.15307109
2600,2600,Mesh,52.33800301,8.375123526,0,2.83E-05,0,0.000429079,0.000268125,9.12E-05,1.77E-05,5.95E-05,2.32E-08,0,2.10E-05,0,0,1.32E-06,0,0.000654458,0.001075139,4.62E-06,0,0.000396738,0.000313164,3.09E-05,0.000415125,9.08E-06,0.000793809,0.000357603,9.63E-05,0,1.44E-05,0,0.000124275,0,3.94E-06,2.79E-05,0,0,5.990766308,0.340098488,5.65066782,20.85118244,66.11353166
2769,2769,Mesh,24.3533311,6.058973087,3.53E-06,5.82E-06,0,0.000260066,0.000113885,2.60E-05,1.89E-06,5.29E-05,0,0,8.19E-05,0,0,0,0,0.000147439,0.000211936,1.60E-06,0,0.000336844,2.26E-05,1.06E-05,0.000187183,6.71E-05,0.000328497,0.000192213,2.01E-05,0,0.000195849,6.06E-07,0.000134484,0,2.56E-05,6.69E-06,0,0,6.326029083,0.319292392,6.006736692,5.74138327,47.06170181
2822,2822,Mesh,31.89544435,5.840288097,4.03E-06,0,0,0.000227801,0.000271981,2.88E-05,2.38E-05,5.15E-05,7.83E-06,0,3.66E-05,0,0,8.38E-08,0,0.000411545,0.000279604,1.83E-05,0,0.000348945,0.000163161,1.70E-05,0.000353089,4.26E-05,0.000372363,0.000110778,4.35E-05,0,0.000218058,0,0.000107864,0,2.99E-05,1.60E-05,0,4.38E-06,4.012405102,0.318219959,3.694185142,9.765456458,29.02163863
3062,3062,Mesh,28.04318774,4.416571093,0.00017625,1.42E-05,0,0.000176348,0.000141945,5.66E-05,5.81E-05,5.13E-05,1.87E-05,0,0.000103164,0,0,5.62E-07,0,8.11E-05,0.000512039,8.34E-06,1.93E-07,0.000278456,0.000104859,3.36E-05,3.43E-05,4.43E-05,0.000177215,0.000186771,0.000101497,3.77E-07,0.000164896,1.88E-05,9.13E-05,0,6.27E-05,4.51E-05,5.53E-06,5.57E-05,4.42810384,0.290709833,4.137394007,7.390815842,23.6464127
3776,3776,Mesh,50.31398598,12.6880243,6.44E-07,0,0,0.00023102,0.000168574,4.92E-05,3.36E-05,0.000430904,1.68E-06,1.30E-05,0.000127154,0,0,3.07E-07,0,8.00E-05,0.001237401,0.000363768,3.59E-05,0.00028378,4.81E-05,7.34E-06,4.37E-05,5.08E-05,0.000273614,0.000349307,0.00071981,0.000190372,3.27E-05,6.56E-08,0.000179205,0,2.62E-05,1.87E-05,3.43E-06,3.10E-05,4.658846541,0.316170404,4.342676136,16.17775492,66.42894172
3891,3891,Mesh,28.3290678,4.798764968,0,4.52E-06,0,0.000105045,0.000228221,6.93E-05,2.00E-05,3.90E-05,2.84E-06,0,0.000100923,0,0,0,0,6.87E-05,0.000544051,2.93E-05,0,0.000422289,2.97E-05,1.33E-05,5.70E-05,0.00010348,0.000333096,0.000302793,8.37E-05,1.50E-06,5.31E-05,6.54E-08,0.000179916,0,1.86E-05,1.90E-05,0,3.55E-06,3.954301616,0.329282166,3.625019449,7.308510242,21.52483424
4452,4452,Mesh,40.11175073,7.027985547,1.08E-05,2.74E-06,0,0.00019178,0.000424234,4.99E-05,1.22E-05,0.000111895,4.91E-06,0,0.000101042,0,0,1.50E-06,0,0.000309555,0.000449655,1.35E-05,0,0.000208037,0.00023605,2.38E-05,0.000282144,7.87E-05,0.000654893,0.000316264,8.16E-05,7.31E-08,0.000182892,2.22E-07,0.000180973,0,6.32E-05,1.49E-05,0,3.64E-06,5.154140326,0.309456726,4.8446836,12.2465888,50.75299891
4489,4489,Mesh,26.41160547,4.655014366,1.86E-05,3.78E-06,0,0.000180328,8.45E-05,1.77E-05,8.37E-05,0.000239834,8.74E-06,3.57E-06,0.000129549,0,0,0,0,6.62E-06,0.000786443,3.36E-05,3.97E-05,0.000165429,2.03E-05,3.08E-05,7.84E-06,2.81E-05,6.43E-05,0.000121116,0.000150919,5.03E-05,9.59E-05,8.60E-08,5.93E-05,0,1.02E-05,1.05E-05,0,0.000189514,4.096117481,0.293423477,3.802694004,8.029862254,22.57622082
4522,4522,Mesh,49.75174757,9.16488794,0.000192923,2.87E-06,0,0.000287923,0.000202927,1.66E-05,7.79E-06,0.000412722,2.59E-06,0,1.34E-06,0,0,6.88E-07,0,0.000260803,0.000826357,9.16E-05,4.85E-07,0.000386671,0.000122521,2.02E-05,8.10E-05,0.000120708,0.000623547,0.00056728,0.000275821,9.35E-06,0.000248625,3.23E-05,0.000130649,0,2.33E-05,1.09E-05,3.46E-06,1.13E-05,5.017360214,0.348267007,4.669093207,16.39790432,55.96150995
4704,4704,Mesh,36.45120093,5.168358941,0.000277878,0,0,7.11E-05,0.000123401,6.96E-05,5.57E-05,8.83E-06,1.08E-05,0,5.45E-06,0,0,0,0,0.000101954,0.000799846,1.08E-06,0,0.000235523,2.92E-05,1.37E-05,0.000265134,1.72E-05,0.000830174,0.000373508,1.84E-05,7.46E-08,0.000115455,2.09E-06,0.000115752,0,5.54E-05,3.42E-05,0,1.37E-05,6.360958478,0.307866581,6.053091897,11.78725727,42.62509314
4782,4782,Mesh,42.7695314,6.696977461,0.000254157,0.000105568,0,0.000537896,0.000240653,0.000108532,6.47E-05,2.74E-05,3.60E-05,0,5.20E-05,0,0,5.32E-06,0,0.000201306,0.000546415,1.39E-06,7.64E-07,0.000474277,0.000219397,7.86E-05,0.000103698,7.92E-05,0.000519478,0.000288722,3.14E-05,3.20E-06,8.19E-05,2.11E-06,3.88E-05,0,5.20E-05,8.59E-05,0,3.61E-05,5.329420179,0.295447441,5.033972738,12.80560492,47.54646671
5175,5175,Mesh,36.43015141,7.57084019,4.65E-06,1.14E-06,0,0.000127458,0.000118413,5.62E-05,5.19E-05,4.26E-05,8.30E-06,0,5.80E-05,0,0,4.43E-06,0,0.000259496,0.001103272,0.000118523,1.33E-07,0.000327448,0.000103759,1.49E-05,0.000244299,2.05E-05,0.000339302,0.000156259,0.000154054,6.49E-05,8.09E-05,0,9.76E-05,0,3.52E-05,2.49E-05,0,2.46E-05,3.821325994,0.296834616,3.524491378,11.18500446,39.29959503
5287,5287,Mesh,24.63972859,5.34308213,2.05E-06,3.57E-06,0,0.000215038,0.000148493,4.21E-05,3.92E-06,4.99E-05,6.63E-07,0,0.000200948,0,0,0,0,0.000119903,0.000164847,1.12E-06,0,0.000177411,9.97E-06,8.23E-06,0.000155343,3.73E-05,0.000589308,0.000200843,1.26E-05,0,9.76E-05,0,0.000181885,0,2.39E-05,1.68E-05,0,1.69E-07,3.701550166,0.298399911,3.403150255,6.109537094,24.34970411
5357,5357,Mesh,43.3992013,4.610918118,3.53E-05,0,0,0.000182888,6.76E-05,4.55E-06,4.75E-06,0.000759094,1.48E-07,0,9.43E-05,0,0,0,0,5.13E-06,0.001264817,0.000122887,0,0.000267707,6.52E-06,8.02E-06,5.01E-06,3.02E-05,0.000113579,0.000226211,0.000761979,2.11E-08,0.000114889,0,0.000260516,0,1.65E-06,1.91E-06,0,2.05E-07,6.29301055,0.267653637,6.025356913,17.28110725,34.91373569
5377,5377,Mesh,31.16502135,5.545306051,0,2.16E-05,0,0.000152589,6.52E-05,0.000133529,0.000140931,0.000178789,1.02E-05,0,5.95E-05,0,0,0,0,5.58E-05,0.000717029,2.76E-06,2.58E-08,0.00032693,4.83E-05,2.60E-05,5.14E-05,6.43E-05,0.000346255,0.000483612,5.94E-05,4.77E-07,5.60E-05,0,1.85E-05,0,1.34E-05,6.03E-05,0,2.38E-05,4.459884265,0.266967139,4.192917126,8.580780071,33.13040295
5497,5497,Mesh,56.66327116,13.97176107,0,5.60E-05,0,0.000267577,0.000229028,7.91E-05,0.000139457,0.000143093,7.21E-06,0,1.29E-05,0,0,0,0,0.000462129,0.000773414,1.00E-04,7.62E-07,0.000146098,5.86E-05,1.51E-05,0.001106708,5.83E-05,0.000810217,0.000479856,0.000247042,4.75E-05,1.09E-05,0,0.000266795,0,3.92E-05,2.76E-05,4.05E-06,7.78E-05,5.324068733,0.319610248,5.004458485,25.09266058,94.34205764
5572,5572,Mesh,52.7326739,10.71689038,7.21E-08,0,0,0.000158167,0.000363893,5.16E-05,6.07E-05,0.000323336,3.36E-06,0,0.000206476,0,0,0,0,0.000390676,0.000689964,3.27E-05,4.42E-08,0.000222964,9.99E-05,1.84E-05,0.000363758,0.000312279,0.000888868,0.000613399,0.000173964,1.59E-05,5.35E-05,0,0.000183457,0,2.68E-05,1.46E-05,0,4.65E-06,5.12263815,0.313030938,4.809607211,17.03205266,76.85021184
6010,6010,Mesh,31.85785706,5.036213528,5.18E-06,1.71E-05,0,0.000174343,0.000116816,5.34E-05,1.38E-05,1.65E-05,9.19E-07,0,0.000201018,0,0,0,0,0.000211619,0.000577277,1.26E-05,0,0.000272226,1.25E-05,5.56E-06,0.000403809,7.02E-06,0.000668122,0.000153201,5.41E-05,2.27E-07,4.46E-05,0,0.000119218,0,2.30E-05,1.68E-05,0,4.97E-06,4.775630751,0.29566886,4.479961892,9.83665603,30.45524481
6076,6076,Mesh,29.62840372,5.381527099,0,7.97E-07,0,0.000189371,6.01E-05,3.66E-05,0.000121778,2.10E-05,1.80E-05,0,8.07E-05,0,0,0,0,5.34E-05,0.000622186,0,5.60E-08,0.000482817,2.04E-05,1.04E-05,0.000103112,6.19E-05,0.000424923,0.000311573,7.48E-06,1.91E-07,3.02E-05,2.31E-06,6.58E-05,0,1.27E-05,3.69E-05,0,0.000188063,4.453070089,0.237090812,4.215979277,10.02489152,30.83244898
6117,6117,Mesh,24.23930164,5.077476408,4.77E-05,2.56E-07,0,0.000196062,5.96E-05,2.33E-08,1.92E-07,5.73E-05,0,0,0.000142095,0,0,0,0,8.76E-05,0.000290236,5.22E-06,0,0.000355624,1.82E-05,6.96E-06,0.000166897,4.31E-05,0.000411163,0.000226312,4.52E-05,0,0.000126282,0,0.000137853,0,7.43E-08,0,0,0,2.973860492,0.368459148,2.605401344,6.742799931,18.49438459
6471,6471,Mesh,27.48008022,5.360268916,6.04E-05,0,0,0.000139708,0.000107765,4.82E-05,7.97E-06,4.01E-05,2.69E-06,0,7.07E-05,0,0,0,0,8.51E-06,0.000946394,4.76E-05,0,0.000318461,1.47E-05,1.10E-05,1.21E-05,3.37E-05,0.000155814,0.000275285,0.000104295,6.96E-06,0.000186276,3.02E-07,0.000108765,0,3.46E-05,5.33E-06,0,3.81E-07,3.910910491,0.274745094,3.636165397,7.831880839,27.72071133
6706,6706,Mesh,26.63703622,4.568884502,0,4.70E-05,0,0.000229824,0.000186407,6.04E-05,9.34E-05,7.55E-06,1.91E-06,0,2.94E-05,0,0,1.03E-06,0,0.00030272,0.000158546,4.31E-07,0,0.00032895,9.20E-05,1.97E-05,0.00042317,1.25E-05,0.000426584,0.000108972,1.46E-05,0,2.84E-07,0,7.05E-05,0,8.63E-06,2.58E-05,0,1.36E-05,4.21137222,0.300065352,3.911306868,8.262670467,22.94724906
7506,7506,Mesh,24.91154525,4.612181144,1.74E-06,1.93E-05,0,0.000194579,0.000198962,0.000122595,1.07E-05,1.79E-05,5.67E-07,0,7.90E-05,0,0,5.28E-07,0,0.000145734,0.000299257,1.02E-06,1.73E-07,0.000374249,7.88E-05,1.44E-05,0.000167036,1.58E-05,0.000382946,0.000187404,1.38E-05,1.08E-07,4.73E-05,0,4.12E-05,0,1.31E-05,6.25E-05,0,4.75E-07,3.582364685,0.300075803,3.282288883,6.377434699,19.22638824
7535,7535,Mesh,55.6485406,10.74614773,6.00E-06,2.32E-05,0,0.000233069,0.000288495,5.84E-06,1.82E-05,0.000151855,7.25E-08,0,7.37E-05,0,0,4.91E-06,0,0.000550311,0.001304898,0.000178069,0,0.000283755,0.000190431,4.19E-05,0.000270649,3.74E-05,0.00079273,0.000473427,0.000342568,3.43E-05,5.94E-05,0,0.000191548,0,5.59E-07,3.28E-06,0,4.40E-06,4.951068863,0.317206614,4.633862249,16.1581878,65.06755901
7565,7565,Mesh,48.25532966,9.119047668,4.33E-05,2.53E-06,0,0.00037368,0.000336519,9.91E-05,8.96E-05,0.000148208,2.53E-05,0,4.24E-05,0,0,9.50E-06,0,0.000268718,0.000847886,4.85E-05,0,0.000253314,0.000345163,0.000103842,0.000167043,9.67E-05,0.00053877,0.000414162,0.000191482,4.94E-06,0.000184691,1.15E-07,5.04E-05,0,6.73E-05,6.55E-05,0,6.84E-06,4.92496469,0.246821278,4.678143411,15.99001571,65.59715651
7580,7580,Mesh,24.20948326,4.799383643,2.26E-06,6.21E-06,0,0.000269596,0.000210077,1.02E-06,3.48E-06,5.27E-05,0,0,8.17E-05,0,0,0,0,0.000124545,0.000115913,1.19E-06,0,0.000332235,5.77E-05,1.82E-05,8.48E-05,0.00017193,0.000315194,0.000178229,2.92E-05,0,0.000167356,4.02E-06,0.000191904,0,1.42E-06,4.72E-08,0,0,2.804205128,0.29698982,2.507215308,6.787723949,15.82878115
7640,7640,Mesh,33.67614861,6.210411586,2.09E-06,5.60E-06,0,0.000192551,9.74E-05,9.94E-05,7.05E-05,4.44E-05,3.93E-06,0,0.000144503,0,0,0,0,5.91E-06,0.001370694,0.000146222,2.77E-06,0.000213059,3.19E-06,7.41E-06,3.06E-05,1.36E-05,0.000113237,0.000194168,0.0002772,5.34E-05,0.000106106,1.06E-07,7.82E-05,0,3.22E-05,4.06E-05,0,1.85E-05,3.85947342,0.282071736,3.577401684,8.879131183,34.09449751
7649,7649,Mesh,32.18399312,6.810010161,1.67E-06,4.07E-06,0,0.000170109,0.000106102,4.55E-05,7.93E-06,0.000114601,1.77E-07,0,7.99E-05,0,0,0,0,7.98E-06,0.00128589,8.29E-05,0,0.000328368,3.33E-06,1.58E-05,2.69E-05,2.19E-05,0.000140501,0.000237245,0.000261671,1.65E-06,0.000111727,0,0.000141795,0,1.95E-05,8.75E-07,0,2.96E-07,4.308042856,0.304357869,4.003684987,9.043301688,38.16553679
7687,7687,Mesh,43.51675251,6.453910691,2.04E-05,2.64E-06,0,0.00026188,0.000209893,1.78E-05,0,2.88E-05,0,0,9.01E-05,0,0,0,0,0.000667273,0.000516346,1.04E-06,0,0.000484415,6.81E-05,1.58E-05,0.000690332,7.54E-05,0.000690618,0.000212778,2.59E-05,0,0.000133508,0,0.000138226,0,2.55E-08,4.42E-07,0,0,6.058309456,0.313411571,5.744897886,11.08392419,56.46896022
7711,7711,Mesh,29.25464309,4.828172235,0,1.26E-05,0,0.000321048,0.000356599,0.000102897,9.15E-06,0.000240075,1.15E-05,0,0.000100519,0,0,1.96E-06,0,1.60E-05,0.000638221,1.68E-05,0,0.000305383,6.02E-05,5.60E-05,4.86E-06,8.29E-05,7.34E-05,0.000185611,0.000161552,0,1.50E-05,0,0.000104941,0,1.02E-05,3.76E-05,0,2.26E-07,4.545344234,0.314086895,4.231257339,9.318049652,27.44303367
7714,7714,Mesh,31.98461575,4.817959092,2.95E-05,6.51E-07,0,0.000173361,0.000147986,0.000108598,6.30E-05,1.80E-05,2.72E-05,0,6.06E-05,0,0,0,0,8.46E-05,0.00091638,0,1.90E-08,0.000216902,7.84E-05,1.19E-05,0.000135361,7.33E-05,0.000346637,0.000274757,1.58E-05,1.60E-07,0.000214843,1.03E-07,2.99E-05,0,6.85E-05,5.46E-05,0,4.75E-05,5.066143913,0.259618733,4.80652518,9.410966822,31.14451394
7771,7771,Mesh,35.37598887,6.12357328,0,9.28E-06,0,0.000194794,0.000171317,4.27E-05,0.000149433,3.69E-05,1.25E-05,0,6.14E-05,0,0,1.02E-06,0,0.000378657,0.000623889,1.60E-05,2.59E-07,0.000309337,0.00013167,1.42E-05,0.000173341,2.53E-05,0.000585846,0.000287127,5.80E-05,3.76E-06,6.79E-05,0,5.96E-05,0,1.92E-05,1.97E-05,0,8.45E-05,4.480337156,0.286332037,4.19400512,11.01267387,34.11824126
7773,7773,Mesh,57.03961903,15.80671072,1.93E-06,0,0,7.45E-05,0.000188818,0.000126596,0.000145419,0.000403766,1.36E-05,3.87E-07,5.26E-07,0,0,2.39E-07,0,9.21E-05,0.001286215,0.000584384,4.74E-05,7.74E-05,5.27E-05,7.71E-06,0.000120653,4.15E-05,0.000306479,0.000354292,0.000826553,0.000333335,8.13E-05,1.63E-06,0.000157436,0,0.000105183,1.34E-05,1.50E-05,0.000243544,3.244615262,0.359762063,2.884853199,17.77294457,65.15103824
7788,7788,Mesh,40.79499182,7.214197881,4.19E-05,3.04E-06,0,0.00027406,0.000368044,9.09E-05,0.00012282,0.000258619,7.43E-05,1.11E-06,4.33E-07,0,0,0,0,3.04E-05,0.000482297,2.37E-06,0,0.000258091,8.54E-05,7.71E-05,9.90E-06,0.000254284,0.000280539,0.000569209,9.15E-05,0,0.000286418,3.26E-05,0.000170854,0,7.23E-05,0.000104431,1.93E-05,1.74E-05,4.995167534,0.26961523,4.725552304,10.47522058,54.2017276
7812,7812,Mesh,35.56687048,5.301631008,0.000207814,1.41E-05,0,0.000209977,0.000163938,0.000126087,7.48E-05,7.83E-05,1.20E-05,9.09E-07,6.81E-05,0,0,1.63E-06,0,0.000138883,0.000738634,6.25E-07,7.34E-07,0.000279959,0.000162039,4.15E-05,0.000110588,6.99E-05,0.000317658,0.000295374,5.72E-05,6.54E-07,0.000191401,2.57E-06,4.42E-05,0,4.51E-05,8.94E-05,0,1.25E-05,4.691359489,0.354485449,4.33687404,10.46281975,29.7814673
7813,7813,Mesh,29.6650969,8.677994922,3.04E-07,0,0,0.000124264,0.000174368,7.49E-05,3.71E-05,0.000193395,4.55E-06,0,1.39E-06,0,0,0,0,2.98E-05,0.000533987,0.00027553,7.18E-06,0.000148756,1.83E-05,6.05E-06,2.12E-05,3.69E-05,0.000120551,0.000211877,0.000373034,9.50E-05,0.000144976,2.50E-05,0.000200736,0,7.74E-05,1.94E-05,0,1.05E-05,2.559232479,0.299193141,2.260039338,7.464239589,30.79845571
7831,7831,Mesh,27.50379344,4.692506067,8.95E-06,4.44E-06,0,0.000193615,8.50E-05,1.28E-05,0.000223805,2.52E-06,1.29E-05,0,7.29E-05,0,0,1.75E-06,0,0.001003307,1.19E-05,0,5.51E-07,0.000318277,0.000247031,0.000114031,3.91E-05,6.37E-06,3.03E-05,4.47E-05,6.70E-08,1.59E-06,0.000142122,2.91E-07,2.67E-05,0,8.11E-06,2.11E-05,0,0.000115916,4.089503875,0.263749362,3.825754513,7.588385274,25.15520209
7846,7846,Mesh,26.50228732,5.911112602,4.04E-06,8.34E-06,0,0.000274477,0.000183265,1.04E-06,7.05E-06,0.00019409,2.49E-07,0,0.000243566,0,0,0,0,1.14E-05,0.000272879,4.68E-05,0,0.000274491,3.48E-05,4.02E-05,3.24E-06,0.000158705,0.000187821,0.000316087,0.000132307,1.12E-05,5.61E-05,0,0.000187122,0,3.03E-07,5.95E-07,0,8.98E-08,2.985076523,0.330431817,2.654644706,7.652527727,21.99829466
7861,7861,Mesh,30.09739648,5.593834212,6.17E-07,2.38E-05,0,0.00020511,0.000133672,3.25E-05,1.56E-05,4.20E-05,9.72E-08,0,9.68E-05,0,0,0,0,9.74E-05,0.000730705,3.37E-05,0,0.00034274,1.92E-05,3.25E-05,0.000196572,6.65E-06,0.000430606,0.000240169,8.56E-05,5.67E-06,4.99E-05,0,0.000162477,0,1.37E-05,1.14E-05,0,4.49E-07,3.658321657,0.329548473,3.328773183,8.039385563,26.71151975
7898,7898,Mesh,46.44044827,8.434433259,0.000211337,0.00010865,7.05E-08,0.000506032,0.000248766,3.11E-05,0.000207765,0.000114758,2.82E-05,0,6.46E-05,0,0,3.74E-06,0,0.000133156,0.000684176,2.73E-05,1.01E-07,0.000539328,0.0002238,8.21E-05,0.000105085,0.000114908,0.000404771,0.000395231,0.000137064,5.45E-07,0.000135032,1.84E-06,3.99E-05,0,1.46E-05,3.52E-05,0,4.49E-05,5.320964569,0.28625503,5.034709538,14.49950076,60.10858152
7899,7899,Mesh,25.16958656,12.34407767,4.40E-07,1.13E-05,0,0.000193684,9.64E-05,0.000215828,2.83E-05,4.13E-06,4.24E-06,0,7.73E-05,0,0,0,0,0.000320317,9.84E-05,0,2.56E-07,0.000340247,1.38E-05,7.03E-06,0.000396065,2.98E-05,0.000319859,0.00012951,0,7.16E-07,6.61E-05,3.62E-07,2.56E-05,0,7.15E-05,5.56E-05,0,1.01E-05,4.52789294,0.250969589,4.276923351,5.955897026,190.3236397
7910,7910,Mesh,45.52174433,7.952987481,1.61E-06,0,0,0.000134451,0.000504972,9.52E-05,0.000243609,0.00019322,3.28E-05,2.77E-05,1.24E-05,0,0,0,0,3.42E-05,0.000353978,1.15E-06,0,0.000290531,7.14E-05,7.20E-05,1.85E-05,0.000488149,0.000576644,0.000837899,4.39E-05,3.54E-07,0.000122835,7.69E-06,0.000165143,0,3.82E-05,5.95E-05,2.99E-05,9.43E-05,4.903402704,0.309231017,4.594171687,11.38754639,56.27974372
7918,7918,Mesh,33.66412788,5.291180168,0.000157742,4.87E-06,0,0.000226673,0.000177214,2.10E-05,0.000123152,8.61E-05,3.81E-05,0,4.71E-05,0,0,4.15E-07,0,9.98E-05,0.000350848,2.07E-05,4.93E-07,0.000280092,0.000110077,4.74E-05,0.00010432,9.56E-05,0.000497944,0.000320851,6.33E-05,1.21E-05,0.000195249,1.06E-06,5.38E-05,0,4.64E-06,9.58E-06,0,0.000216277,4.327846761,0.296193846,4.031652915,10.89880248,29.69956715
7922,7922,Mesh,53.87292049,28.74366846,6.64E-05,3.95E-06,0,0.000280927,0.000325742,5.65E-05,5.72E-05,7.83E-05,5.01E-07,0,7.04E-05,0,0,1.97E-05,0,0.000644305,0.001051143,7.63E-05,0,0.000177576,0.000413684,3.97E-05,0.000404357,6.84E-05,0.000680982,0.000323216,0.00016955,2.12E-05,0.000138332,1.29E-06,0.000181896,0,2.68E-05,8.64E-06,0,1.71E-07,5.221724386,0.316059016,4.90566537,22.91737603,857.1064588
7923,7923,Mesh,37.5442948,6.571433022,0,2.44E-05,0,0.000186917,5.36E-05,1.80E-05,0.000140981,0.000110192,6.65E-06,3.68E-06,0.000113657,0,0,2.71E-07,0,5.56E-05,0.001134897,0.000150962,3.15E-05,0.00035547,2.67E-05,1.15E-05,9.24E-05,1.24E-05,0.000264834,0.000383581,0.000332824,5.54E-05,8.65E-06,0,2.00E-05,0,2.38E-06,2.02E-05,1.09E-06,0.000135503,4.382245218,0.317720184,4.064525034,9.473238433,38.15530851
7972,7972,Mesh,45.07903094,9.342360139,4.29E-05,1.76E-06,0,8.02E-05,5.49E-05,2.43E-05,9.45E-05,0.000139578,1.79E-05,3.27E-08,4.13E-05,0,0,0,0,0.000164639,0.001256795,9.89E-05,2.03E-05,0.000247693,1.49E-05,1.06E-05,0.000354696,4.22E-05,0.000693631,0.000446023,0.000153301,5.47E-05,8.74E-05,5.55E-08,7.38E-05,0,1.66E-05,2.35E-05,2.72E-06,0.000248102,3.960763912,0.344306029,3.616457883,15.29180743,45.09367012
