scan,date,time,raw,calibrated
128,25/01/2023 , 10:10:00,659,46.1
129,25/01/2023 , 10:20:00,962,67.2
130,25/01/2023 , 10:30:00,964,67.4
131,25/01/2023 , 10:40:00,938,65.6
132,25/01/2023 , 10:50:00,932,65.1
133,25/01/2023 , 11:00:00,1045,73
134,25/01/2023 , 11:10:00,1248,87.2
135,25/01/2023 , 11:20:00,1312,91.7
136,25/01/2023 , 11:30:00,1597,111.6
137,25/01/2023 , 11:40:00,2397,167.5
138,25/01/2023 , 11:50:00,1277,89.2
139,25/01/2023 , 12:00:00,1396,97.6
140,25/01/2023 , 12:10:00,1557,108.8
141,25/01/2023 , 12:20:00,1180,82.5
142,25/01/2023 , 12:30:00,1063,74.3
143,25/01/2023 , 12:40:00,1524,106.5
144,25/01/2023 , 12:50:00,1682,117.6
145,25/01/2023 , 13:00:00,1528,106.8
146,25/01/2023 , 13:10:00,1489,104.1
147,25/01/2023 , 13:20:00,1329,92.9
148,25/01/2023 , 13:30:00,1671,116.8
149,25/01/2023 , 13:40:00,1536,107.3
150,25/01/2023 , 13:50:00,1906,133.2
151,25/01/2023 , 14:00:00,2043,142.8
152,25/01/2023 , 14:10:00,1409,98.5
153,25/01/2023 , 14:20:00,1401,97.9
154,25/01/2023 , 14:30:00,1832,128
155,25/01/2023 , 14:40:00,2450,171.2
156,25/01/2023 , 14:50:00,2687,187.8
157,25/01/2023 , 15:00:00,2194,153.3
158,25/01/2023 , 15:10:00,2627,183.6
159,25/01/2023 , 15:20:00,1107,77.4
160,25/01/2023 , 15:30:00,1125,78.6
161,25/01/2023 , 15:40:00,867,60.6
162,25/01/2023 , 15:50:00,857,59.9
163,25/01/2023 , 16:00:00,852,59.5
164,25/01/2023 , 16:10:00,999,69.8
165,25/01/2023 , 16:20:00,728,50.9
166,25/01/2023 , 16:30:00,571,39.9
167,25/01/2023 , 16:40:00,548,38.3
168,25/01/2023 , 16:50:00,484,33.8
169,25/01/2023 , 17:00:00,447,31.2
170,25/01/2023 , 17:10:00,398,27.8
171,25/01/2023 , 17:20:00,268,18.7
172,25/01/2023 , 17:30:00,223,15.6
173,25/01/2023 , 17:40:00,174,12.2
174,25/01/2023 , 17:50:00,118,8.2
175,25/01/2023 , 18:00:00,71,5
176,25/01/2023 , 18:10:00,35,2.4
177,25/01/2023 , 18:20:00,11,0.8
178,25/01/2023 , 18:30:00,1,0.1
179,25/01/2023 , 18:40:00,0,0
180,25/01/2023 , 18:50:00,0,0
181,25/01/2023 , 19:00:00,0,0
182,25/01/2023 , 19:10:00,0,0
183,25/01/2023 , 19:20:00,0,0
184,25/01/2023 , 19:30:00,0,0
185,25/01/2023 , 19:40:00,0,0
186,25/01/2023 , 19:50:00,0,0
187,25/01/2023 , 20:00:00,0,0
188,25/01/2023 , 20:10:00,0,0
189,25/01/2023 , 20:20:00,0,0
190,25/01/2023 , 20:30:00,0,0
191,25/01/2023 , 20:40:00,0,0
192,25/01/2023 , 20:50:00,0,0
193,25/01/2023 , 21:00:00,0,0
194,25/01/2023 , 21:10:00,0,0
195,25/01/2023 , 21:20:00,0,0
196,25/01/2023 , 21:30:00,0,0
197,25/01/2023 , 21:40:00,0,0
198,25/01/2023 , 21:50:00,0,0
199,25/01/2023 , 22:00:00,0,0
200,25/01/2023 , 22:10:00,0,0
201,25/01/2023 , 22:20:00,0,0
202,25/01/2023 , 22:30:00,0,0
203,25/01/2023 , 22:40:00,0,0
204,25/01/2023 , 22:50:00,0,0
205,25/01/2023 , 23:00:00,0,0
206,25/01/2023 , 23:10:00,0,0
207,25/01/2023 , 23:20:00,0,0
208,25/01/2023 , 23:30:00,0,0
209,25/01/2023 , 23:40:00,0,0
210,25/01/2023 , 23:50:00,0,0
211,25/01/2023 , 24:00:00,0,0
212,26/01/2023 , 00:10:00,0,0
213,26/01/2023 , 00:20:00,0,0
214,26/01/2023 , 00:30:00,0,0
215,26/01/2023 , 00:40:00,0,0
216,26/01/2023 , 00:50:00,0,0
217,26/01/2023 , 01:00:00,0,0
218,26/01/2023 , 01:10:00,0,0
219,26/01/2023 , 01:20:00,0,0
220,26/01/2023 , 01:30:00,0,0
221,26/01/2023 , 01:40:00,0,0
222,26/01/2023 , 01:50:00,0,0
223,26/01/2023 , 02:00:00,0,0
224,26/01/2023 , 02:10:00,0,0
225,26/01/2023 , 02:20:00,0,0
226,26/01/2023 , 02:30:00,0,0
227,26/01/2023 , 02:40:00,0,0
228,26/01/2023 , 02:50:00,0,0
229,26/01/2023 , 03:00:00,0,0
230,26/01/2023 , 03:10:00,0,0
231,26/01/2023 , 03:20:00,0,0
232,26/01/2023 , 03:30:00,0,0
233,26/01/2023 , 03:40:00,0,0
234,26/01/2023 , 03:50:00,0,0
235,26/01/2023 , 04:00:00,0,0
236,26/01/2023 , 04:10:00,0,0
237,26/01/2023 , 04:20:00,0,0
238,26/01/2023 , 04:30:00,0,0
239,26/01/2023 , 04:40:00,0,0
240,26/01/2023 , 04:50:00,0,0
241,26/01/2023 , 05:00:00,0,0
242,26/01/2023 , 05:10:00,0,0
243,26/01/2023 , 05:20:00,0,0
244,26/01/2023 , 05:30:00,0,0
245,26/01/2023 , 05:40:00,0,0
246,26/01/2023 , 05:50:00,0,0
247,26/01/2023 , 06:00:00,0,0
248,26/01/2023 , 06:10:00,0,0
249,26/01/2023 , 06:20:00,0,0
250,26/01/2023 , 06:30:00,0,0
251,26/01/2023 , 06:40:00,0,0
252,26/01/2023 , 06:50:00,0,0
253,26/01/2023 , 07:00:00,0,0
254,26/01/2023 , 07:10:00,0,0
255,26/01/2023 , 07:20:00,10,0.7
256,26/01/2023 , 07:30:00,31,2.2
257,26/01/2023 , 07:40:00,67,4.7
258,26/01/2023 , 07:50:00,114,8
259,26/01/2023 , 08:00:00,165,11.5
260,26/01/2023 , 08:10:00,257,18
261,26/01/2023 , 08:20:00,330,23.1
262,26/01/2023 , 08:30:00,399,27.9
